bucket,kind,id,region,source,before,after,reason
auto_clean,series,175,,,华商会挑战杯 (让赛),华商会挑战杯,
auto_clean,series,176,,,洋紫荆短途锦标 (让赛),洋紫荆短途锦标,
auto_clean,series,177,,,一月杯 (让赛),一月杯,
auto_clean,series,180,,,百周年纪念银瓶 (让赛),百周年纪念银瓶,
auto_clean,series,188,,,皇太后纪念杯 (让赛),皇太后纪念杯,
auto_clean,series,190,,,沙田银瓶 (让赛),沙田银瓶,
auto_clean,series,191,,,狮子山锦标 (让赛),狮子山锦标,
auto_clean,series,192,,,精英杯 (让赛),精英杯,
auto_clean,series,193,,,精英碟 (让赛),精英碟,
auto_clean,series,285,,,京成杯秋季让赛,京成杯秋季赛,
auto_clean,event,145,,,华商会挑战杯 (让赛),华商会挑战杯,
auto_clean,event,146,,,洋紫荆短途锦标 (让赛),洋紫荆短途锦标,
auto_clean,event,147,,,一月杯 (让赛),一月杯,
auto_clean,event,150,,,百周年纪念银瓶 (让赛),百周年纪念银瓶,
auto_clean,event,158,,,皇太后纪念杯 (让赛),皇太后纪念杯,
auto_clean,event,160,,,沙田银瓶 (让赛),沙田银瓶,
auto_clean,event,161,,,狮子山锦标 (让赛),狮子山锦标,
auto_clean,event,162,,,精英杯 (让赛),精英杯,
auto_clean,event,163,,,精英碟 (让赛),精英碟,
auto_clean,term,1972,,京成杯オータムH,京成杯秋季让赛,京成杯秋季赛,
auto_clean,term,4218,hong_kong,THE BAUHINIA SPRINT TROPHY (HANDICAP),洋紫荆短途锦标(让赛),洋紫荆短途锦标,
auto_clean,term,4220,hong_kong,THE CHINESE CLUB CHALLENGE CUP (HANDICAP),华商会挑战杯(让赛),华商会挑战杯,
auto_clean,term,4221,hong_kong,THE HONG KONG CLUB CHALLENGE CUP (HANDICAP),香港会挑战杯(让赛),香港会挑战杯,
auto_clean,term,4222,hong_kong,THE HONG KONG FOOTBALL CLUB CENTENARY CUP (HANDICAP),香港足球会百周年纪念杯(让赛),香港足球会百周年纪念杯,
auto_clean,term,4223,hong_kong,THE HONG KONG GOLF CLUB CENTENARY CUP (HANDICAP),香港高尔夫球会百周年纪念杯(让赛),香港高尔夫球会百周年纪念杯,
auto_clean,term,4224,hong_kong,THE JANUARY CUP (HANDICAP),一月杯(让赛),一月杯,
auto_clean,term,4225,hong_kong,THE PO LEUNG KUK CUP (HANDICAP),保良局杯(让赛),保良局杯,
auto_clean,term,4226,hong_kong,THE POK OI CUP (HANDICAP),博爱杯(让赛),博爱杯,
auto_clean,term,4228,hong_kong,THE YAN OI TONG CUP (HANDICAP),仁爱堂杯(让赛),仁爱堂杯,
auto_clean,term,4365,hong_kong,THE CENTENARY VASE (HANDICAP),百周年纪念银瓶(让赛),百周年纪念银瓶,
auto_clean,term,4366,hong_kong,THE CHINESE NEW YEAR CUP (HANDICAP),贺年杯(让赛),贺年杯,
auto_clean,term,4369,hong_kong,THE ROTARY CENTENARY CHALLENGE CUP (HANDICAP),扶轮百周年挑战杯(让赛),扶轮百周年挑战杯,
auto_clean,term,4370,hong_kong,THE TVB CUP (HANDICAP),TVB杯(让赛),TVB杯,
auto_clean,term,4371,hong_kong,THE VOLUNTEERS' CHALLENGE CUP (HANDICAP),义勇军挑战杯(让赛),义勇军挑战杯,
auto_clean,term,4513,hong_kong,THE ASSOCIATION OF HONG KONG RACING JOURNALISTS CHALLENGE CUP (HANDICAP),香港评马同业协进会挑战杯(让赛),香港评马同业协进会挑战杯,
auto_clean,term,4515,hong_kong,THE CRAIGENGOWER CRICKET CLUB CHALLENGE CUP (HANDICAP),纪利华木球会挑战杯(让赛),纪利华木球会挑战杯,
auto_clean,term,4516,hong_kong,THE CUHK ALUMNI CUP (HANDICAP),香港中文大学校友会联会杯(让赛),香港中文大学校友会联会杯,
auto_clean,term,4517,hong_kong,THE HEUNG YEE KUK CUP (HANDICAP),乡议局杯(让赛),乡议局杯,
auto_clean,term,4519,hong_kong,THE IRELAND TROPHY (HANDICAP),爱尔兰锦标(让赛),爱尔兰锦标,
auto_clean,term,4520,hong_kong,THE KOWLOON TONG CLUB TROPHY (HANDICAP),九龙塘会杯(让赛),九龙塘会杯,
auto_clean,term,4521,hong_kong,THE KWOON CHUNG BUS CUP (HANDICAP),冠忠巴士杯（让赛）,冠忠巴士杯,
auto_clean,term,4522,hong_kong,THE LOK SIN TONG CUP (HANDICAP),乐善堂杯(让赛),乐善堂杯,
auto_clean,term,4642,hong_kong,THE BEIJING CLUBHOUSE ANNIVERSARY CUP (HANDICAP),北京会所周年杯(让赛),北京会所周年杯,
auto_clean,term,4647,hong_kong,THE HONG KONG CHINESE IMPORTERS' & EXPORTERS' ASSOCIATION 70TH ANNIVERSARY CUP (HANDICAP),香港中华出入口商会七十周年杯（让赛）,香港中华出入口商会七十周年杯,
auto_clean,term,4648,hong_kong,THE HONG KONG JOCKEY CLUB COMMUNITY TROPHY (HANDICAP),香港赛马会社群杯(让赛),香港赛马会社群杯,
auto_clean,term,4649,hong_kong,THE HONG KONG LIONS CUP (HANDICAP),狮子会杯(让赛),狮子会杯,
auto_clean,term,4650,hong_kong,THE KOREA RACING AUTHORITY TROPHY (HANDICAP),韩国马事会锦标(让赛),韩国马事会锦标,
auto_clean,term,4651,hong_kong,THE LUSITANO CHALLENGE CUP (HANDICAP),西洋会挑战杯(让赛),西洋会挑战杯,
auto_clean,term,4754,hong_kong,THE FRANCE GALOP CUP (HANDICAP),法国赛马会杯（让赛）,法国赛马会杯,
auto_clean,term,4755,hong_kong,THE FRENCH MAY TROPHY (HANDICAP),法国五月杯(让赛),法国五月杯,
auto_clean,term,4757,hong_kong,THE HONG KONG CHINA RUGBY CUP (HANDICAP),中国香港榄球总会杯（让赛）,中国香港榄球总会杯,
auto_clean,term,4758,hong_kong,THE KOWLOON CRICKET CLUB CENTENARY CUP (HANDICAP),九龙木球会百周年纪念杯(让赛),九龙木球会百周年纪念杯,
auto_clean,term,4759,hong_kong,THE MEMBERS CUP (HANDICAP),会员杯（让赛）,会员杯,
auto_clean,term,4760,hong_kong,THE QUEEN MOTHER MEMORIAL CUP (HANDICAP),皇太后纪念杯(让赛),皇太后纪念杯,
auto_clean,term,4762,hong_kong,THE SAUTERNES CUP (HANDICAP),苏特恩杯(让赛),苏特恩杯,
auto_clean,term,4763,hong_kong,THE SPORTS CLUB DIAMOND JUBILEE CHALLENGE CUP (HANDICAP),五陵会钻禧挑战杯(让赛),五陵会钻禧挑战杯,
auto_clean,term,4764,hong_kong,THE ST GEORGE'S CHALLENGE CUP (HANDICAP),圣佐治挑战杯(让赛),圣佐治挑战杯,
auto_clean,term,4846,hong_kong,THE CRICKET CLUB VALLEY STAKES (HANDICAP),木球会锦标(让赛),木球会锦标,
auto_clean,term,4847,hong_kong,THE EWO CHALLENGE TROPHY (HANDICAP),怡和挑战杯(让赛),怡和挑战杯,
auto_clean,term,4848,hong_kong,THE HONG KONG RIDING FOR THE DISABLED ASSOCIATION CUP (HANDICAP),香港伤健策骑协会杯(让赛),香港伤健策骑协会杯,
auto_clean,term,4849,hong_kong,THE LION ROCK TROPHY (HANDICAP),狮子山锦标(让赛),狮子山锦标,
auto_clean,term,4850,hong_kong,THE PEARCE MEMORIAL CHALLENGE CUP (HANDICAP),皮亚士纪念挑战杯(让赛),皮亚士纪念挑战杯,
auto_clean,term,4851,hong_kong,THE POLA CUP (HANDICAP),亚洲律师会会长杯（让赛）,亚洲律师会会长杯,
auto_clean,term,4852,hong_kong,THE PREMIER CUP (HANDICAP),精英杯(让赛),精英杯,
auto_clean,term,4853,hong_kong,THE PREMIER PLATE (HANDICAP),精英碟(让赛),精英碟,
auto_clean,term,4854,hong_kong,THE SHA TIN VASE (HANDICAP),沙田银瓶(让赛),沙田银瓶,
auto_clean,term,4922,hong_kong,THE ARCULLI TROPHY (HANDICAP),夏佳理锦标(让赛),夏佳理锦标,
auto_clean,term,4923,hong_kong,THE CHAN TROPHY (HANDICAP),陈祖泽锦标(让赛),陈祖泽锦标,
auto_clean,term,4924,hong_kong,THE CHOW SILVER PLATE (HANDICAP),周永健银碟(让赛),周永健银碟,
auto_clean,term,4925,hong_kong,THE CMA 90TH ANNIVERSARY CUP (HANDICAP),厂商会90周年纪念杯（让赛）,厂商会90周年纪念杯,
auto_clean,term,4926,hong_kong,THE GUANGDONG-HONG KONG CUP (HANDICAP),粤港杯(让赛),粤港杯,
