sample_region,sample_rank,candidate_key,horse_name,aliases,identity_status,review_status,matched_profile_ids,identity_keys,source_namespace,source_namespaces,source_urls,event_regions,evidence_count,actual_start_evidence_count,declared_entry_evidence_count,nonstarter_evidence_count,unconfirmed_evidence_count,result_evidence_count,last_event_date,latest_event_id,latest_event_name,latest_event_grade,sire_name,dam_name,birth_year,reviewed,review_decision,review_notes
france,1,external:7f84a9d6f7e01c377fef7238394b687808a2b47753bce28709a222d6a5f4d966,LOSANGE BLEU,"[""LOSANGE BLEU""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:558083""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-03-19/R1C5-auteuil-d-indy-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-04-08/R3C4-auteuil-murat-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2023-04-29/R1C2-auteuil-amadou-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-05-21/R1C6-auteuil-alain-du-breil-course-de-haies-de-printemps-des-4-ans-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-10-08/R1C5-auteuil-maisons-laffitte-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-11-03/R3C3-auteuil-pierre-de-lassus-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-11-26/R1C7-auteuil-renaud-du-vivier-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-03-24/R1C6-auteuil-hypothese-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-18/R1C4-auteuil-grande-course-de-haies-d-auteuil-hurdle-racing-tv"", ""https://www.zeturf.fr/fr/course-du-jour/2024-09-28/R1C4-auteuil-compiegne-de-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-19/R1C2-auteuil-carmarthen-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-11-16/R1C7-auteuil-serge-landon-g-p-d-automne-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-23/R1C5-auteuil-la-barka-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-04-20/R1C4-auteuil-jean-stern-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-17/R1C7-auteuil-grande-course-de-haies-d-auteuil-hurdle-racing-tv"", ""https://www.zeturf.fr/fr/course-du-jour/2025-09-27/R1C7-auteuil-compiegne-de-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-18/R1C6-auteuil-carmarthen-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-11-15/R1C8-auteuil-serge-landon-g-p-d-automne-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2026-03-22/R1C4-auteuil-prix-de-pepinvast"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-19/R5C5-auteuil-amadou-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-19/R5C5-auteuil-prix-leon-rambaud"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-16/R1C6-auteuil-grande-course-de-haies-d-auteuil-hurdle-racing-tv"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-16/R1C6-auteuil-racing-tv-grande-course-de-haies-d-auteuil""]","[""france""]",24,24,0,0,0,24,2026-05-16,16189,Grande Course de Haies d'Auteuil Hurdle[Racing TV],G1,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,2,external:739d628fe5241d466ef17bec5bfd7f062f12bcdec0560cbb6f52ed7bad17f4d5,LE PHILOSOPHE,"[""LE PHILOSOPHE""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:558075""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-03-19/R1C5-auteuil-d-indy-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-04-29/R1C2-auteuil-amadou-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-06-10/R3C2-auteuil-la-barka-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2023-06-27/R1C3-auteuil-la-perichole-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2023-09-23/R1C7-auteuil-the-fellow-marquise-de-moratalla-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2023-10-14/R1C3-auteuil-orcada-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2023-11-12/R1C4-auteuil-la-haye-jousselin-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-03-24/R1C6-auteuil-hypothese-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-07/R3C5-compiegne-romati-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-08/R3C7-auteuil-la-barka-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-03/R1C6-compiegne-la-gascogne-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-11-02/R1C7-compiegne-grand-steeple-chase-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2024-11-29/R2C6-compiegne-leopold-d-orsetti-hurdle-g-c-de-haies-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2024-12-08/R4C6-auteuil-georges-courtois-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-23/R1C5-auteuil-la-barka-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-07/R3C5-compiegne-romati-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-31/R1C9-auteuil-hypothese-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-02/R1C6-compiegne-la-gascogne-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-25/R1C6-compiegne-grand-steeple-chase-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-25/R1C6-compiegne-leopold-d-orsetti-hurdle-g-c-de-haies-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-04/R2C4-chantilly-de-guiche"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-04/R2C4-compiegne-prix-romati"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-30/R1C4-auteuil-drags-des-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-30/R1C4-auteuil-prix-des-drags""]","[""france""]",24,21,3,0,0,21,2026-05-30,16181,Drags (des) Stp,G2,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,3,external:176fdb60dcd4b7826f7c18a47e171cf89207ef05a0016cfd9d289c802d60f104,DOUBLE MAJOR,"[""DOUBLE MAJOR""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:612702""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-08-31/R1C4-parislongchamp-gerald-de-geoffre-lutece"", ""https://www.zeturf.fr/fr/course-du-jour/2023-09-30/R1C1-parislongchamp-chaudenay-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2023-10-29/R1C7-parislongchamp-royal-oak"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-28/R1C2-parislongchamp-barbeville"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-26/R1C3-parislongchamp-d-ispahan"", ""https://www.zeturf.fr/fr/course-du-jour/2024-07-13/R4C6-parislongchamp-maurice-de-nieuil"", ""https://www.zeturf.fr/fr/course-du-jour/2024-08-18/R1C1-deauville-jean-romanet-sumbe"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-05/R1C3-parislongchamp-dollar-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-27/R1C7-saint-cloud-flore"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-25/R1C6-parislongchamp-vicomtesse-vigier"", ""https://www.zeturf.fr/fr/course-du-jour/2025-07-13/R1C5-parislongchamp-maurice-de-nieuil"", ""https://www.zeturf.fr/fr/course-du-jour/2025-08-24/R1C1-deauville-jean-romanet-sumbe"", ""https://www.zeturf.fr/fr/course-du-jour/2025-09-11/R1C6-parislongchamp-gladiateur"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-26/R1C8-saint-cloud-royal-oak"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-26/R1C1-parislongchamp-prix-de-barbeville"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-21/R1C8-parislongchamp-prix-vicomtesse-vigier"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-21/R1C8-parislongchamp-vicomtesse-vigier"", ""https://www.zeturf.fr/fr/course-du-jour/2026-07-14/R1C7-parislongchamp-maurice-de-nieuil""]","[""france""]",19,19,0,0,0,19,2026-07-14,16198,Maurice de Nieuil,G2,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,4,external:7ee9573ac9f7a565afb812d5776fbb8dc8b91e499503cf07f0981ae4d61110e3,KENTUCKY WOOD,"[""KENTUCKY WOOD""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:642690""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2024-03-09/R1C4-auteuil-duc-d-anjou-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-03-31/R1C6-auteuil-fleuret-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-21/R1C6-auteuil-jean-stern-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-19/R1C7-auteuil-ferdinand-dufaure-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-11-17/R4C4-auteuil-la-haye-jousselin-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-12-08/R4C4-auteuil-georges-courtois-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-01-19/R4C9-pau-grand-prix-de-pau-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-02-15/R1C7-auteuil-robert-de-clermont-tonnerre"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-08/R1C2-auteuil-troytown-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-17/R1C7-auteuil-grande-course-de-haies-d-auteuil-hurdle-racing-tv"", ""https://www.zeturf.fr/fr/course-du-jour/2025-09-27/R1C7-auteuil-compiegne-de-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-18/R1C6-auteuil-carmarthen-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-11-15/R1C8-auteuil-serge-landon-g-p-d-automne-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2025-12-07/R4C6-auteuil-georges-courtois-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2026-02-14/R1C6-auteuil-gsc-masters-prix-robert-de-clermont-tonnerre"", ""https://www.zeturf.fr/fr/course-du-jour/2026-03-07/R1C6-auteuil-grand-steeple-chase-masters-prix-troytown"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-25/R1C6-auteuil-grand-steeple-chase-masters-prix-ingre"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-17/R1C5-auteuil-ferdinand-dufaure-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-17/R1C5-auteuil-grand-steeple-chase-de-paris"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-30/R1C4-auteuil-drags-des-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-30/R1C4-auteuil-prix-des-drags""]","[""france""]",23,18,5,0,0,18,2026-05-30,16181,Drags (des) Stp,G2,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,5,external:89d10437c9059728ee9be5efba05047a4f0c664ea2469c153bd1cc326328627f,TOSCANA DU BERLAIS,"[""TOSCANA DU BERLAIS""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:563827""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-10-28/R1C7-compiegne-grand-steeple-chase-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2023-10-28/R1C7-compiegne-leopold-d-orsetti-hurdle-g-c-de-haies-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2023-12-02/R3C7-auteuil-georges-courtois-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-02-24/R1C7-auteuil-robert-de-clermont-tonnerre"", ""https://www.zeturf.fr/fr/course-du-jour/2024-03-17/R1C5-auteuil-d-indy-hurdle"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-27/R1C4-auteuil-ingre-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-19/R1C5-auteuil-ferdinand-dufaure-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-08/R3C5-auteuil-drags-des-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-09-28/R1C6-auteuil-richard-et-robert-hennessy-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-19/R1C6-auteuil-heros-xii-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2024-11-02/R1C7-compiegne-grand-steeple-chase-de-compiegne"", ""https://www.zeturf.fr/fr/course-du-jour/2024-12-08/R4C7-auteuil-georges-courtois-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-30/R1C6-auteuil-murat-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-04-26/R1C4-auteuil-ingre-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-18/R1C4-auteuil-grand-steeple-chase-de-paris"", ""https://www.zeturf.fr/fr/course-du-jour/2025-09-27/R1C4-auteuil-richard-et-robert-hennessy-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-18/R1C5-auteuil-heros-xii-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-11-16/R3C7-auteuil-la-haye-jousselin-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2026-03-28/R1C6-auteuil-grand-steeple-chase-masters-prix-murat"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-25/R1C6-auteuil-grand-steeple-chase-masters-prix-ingre"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-17/R1C5-auteuil-ferdinand-dufaure-stp"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-17/R1C5-auteuil-grand-steeple-chase-de-paris""]","[""france""]",22,18,4,0,0,18,2026-05-17,16188,Grand Steeple-Chase de Paris,G1,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,6,external:12e6d810c563c402f615c2ece4d753e9dc3b23893ee8330f84d88eb9377497eb,AVENTURE,"[""AVENTURE""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:645456""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-10-18/R3C3-deauville-des-reservoirs"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-02/R1C6-chantilly-de-royaumont"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-16/R1C5-chantilly-bertrand-du-breuil-longines"", ""https://www.zeturf.fr/fr/course-du-jour/2024-08-17/R1C5-deauville-de-pomone"", ""https://www.zeturf.fr/fr/course-du-jour/2024-09-15/R1C5-parislongchamp-niel-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-06/R1C5-parislongchamp-prix-de-l-arc-de-triomphe"", ""https://www.zeturf.fr/fr/course-du-jour/2025-04-27/R1C4-parislongchamp-allez-france"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-19/R1C4-saint-cloud-corrida"", ""https://www.zeturf.fr/fr/course-du-jour/2025-06-29/R1C7-saint-cloud-saint-cloud-g-p-de"", ""https://www.zeturf.fr/fr/course-du-jour/2025-09-07/R1C5-parislongchamp-vermeille-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-05/R1C5-parislongchamp-arc-de-triomphe-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-26/R1C5-parislongchamp-prix-ganay"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-24/R1C4-parislongchamp-corrida"", ""https://www.zeturf.fr/fr/course-du-jour/2026-05-24/R1C4-parislongchamp-prix-corrida"", ""https://www.zeturf.fr/fr/course-du-jour/2026-07-05/R1C5-saint-cloud-grand-prix-de-saint-cloud""]","[""france""]",16,15,1,0,0,15,2026-07-05,728,GRAND PRIX DE SAINT -CLOUD,G1,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,7,external:78b72ac9424db2a622a200c03008d3b518c6457efd1b387b4cabfaf17d6a674e,SEVENNA'S KNIGHT,"[""SEVENNA'S KNIGHT""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:591206""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-08-31/R1C4-parislongchamp-gerald-de-geoffre-lutece"", ""https://www.zeturf.fr/fr/course-du-jour/2023-09-30/R1C1-parislongchamp-chaudenay-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-28/R1C2-parislongchamp-barbeville"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-26/R1C3-parislongchamp-d-ispahan"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-30/R1C4-saint-cloud-criterium-de-saint-cloud"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-30/R1C4-saint-cloud-eugene-adam"", ""https://www.zeturf.fr/fr/course-du-jour/2024-09-08/R1C6-parislongchamp-gladiateur"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-06/R1C5-parislongchamp-prix-de-l-arc-de-triomphe"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-27/R1C7-saint-cloud-flore"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-16/R1C2-saint-cloud-exbury"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-04/R1C3-parislongchamp-d-hedouville"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-25/R1C6-parislongchamp-vicomtesse-vigier"", ""https://www.zeturf.fr/fr/course-du-jour/2025-08-09/R1C1-deauville-de-reux"", ""https://www.zeturf.fr/fr/course-du-jour/2025-08-24/R1C1-deauville-jean-romanet-sumbe"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-26/R1C8-saint-cloud-royal-oak""]","[""france""]",15,15,0,0,0,15,2025-10-26,1816,Royal Oak,G1,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,8,external:ca10396ba54f80cf9013368d606b4170742745b0c3501ded5e1e6dbdf191b903,FIRST LOOK,"[""FIRST LOOK""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:652741""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2024-04-07/R1C5-parislongchamp-la-force"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-11/R4C3-chantilly-de-guiche"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-02/R1C5-chantilly-du-jockey-club-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-09-08/R1C2-parislongchamp-gladiateur"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-05/R1C8-parislongchamp-dollar-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-16/R1C2-saint-cloud-exbury"", ""https://www.zeturf.fr/fr/course-du-jour/2025-08-16/R1C1-deauville-gontaut-biron-hong-kong-jockey-club"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-04/R1C8-parislongchamp-dollar-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2026-03-15/R1C6-saint-cloud-prix-exbury"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-05/R1C6-parislongchamp-prix-d-harcourt"", ""https://www.zeturf.fr/fr/course-du-jour/2026-04-26/R1C5-parislongchamp-prix-ganay""]","[""france""]",14,14,0,0,0,14,2026-04-26,15356,Ganay,G1,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,9,external:e01de27416dacf5f0b955f6c2947bad95f637a5199fbce7d3fa25a5edca810ca,HORIZON DORE,"[""HORIZON DORE""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:589256""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-04-09/R1C4-parislongchamp-la-force"", ""https://www.zeturf.fr/fr/course-du-jour/2023-05-09/R1C4-chantilly-de-guiche"", ""https://www.zeturf.fr/fr/course-du-jour/2023-07-08/R4C5-saint-cloud-eugene-adam"", ""https://www.zeturf.fr/fr/course-du-jour/2023-09-03/R1C3-parislongchamp-la-coupe-de-maisons-laffitte"", ""https://www.zeturf.fr/fr/course-du-jour/2023-09-30/R1C8-parislongchamp-dollar-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-03-16/R1C5-saint-cloud-exbury"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-07/R1C6-parislongchamp-d-harcourt"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-28/R1C5-parislongchamp-ganay"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-26/R1C5-parislongchamp-d-ispahan"", ""https://www.zeturf.fr/fr/course-du-jour/2025-04-06/R1C6-parislongchamp-d-harcourt"", ""https://www.zeturf.fr/fr/course-du-jour/2025-04-27/R1C5-parislongchamp-ganay"", ""https://www.zeturf.fr/fr/course-du-jour/2025-05-25/R1C5-parislongchamp-d-ispahan"", ""https://www.zeturf.fr/fr/course-du-jour/2026-03-15/R1C6-saint-cloud-prix-exbury""]","[""france""]",14,14,0,0,0,14,2026-03-15,15355,Exbury,G3,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
france,10,external:abd5b9eb66ff95a1ad5a934cb4e43b86df786a89ba35320b4308c6ff9110de5c,MARHABA YA SANAFI,"[""MARHABA YA SANAFI""]",strong_external_identity,ready_for_profile_resolution,[],"[""zeturf:593052""]",zeturf,"[""zeturf""]","[""https://www.zeturf.fr/fr/course-du-jour/2023-04-16/R1C4-parislongchamp-de-fontainebleau"", ""https://www.zeturf.fr/fr/course-du-jour/2023-05-14/R1C5-parislongchamp-poule-d-essai-des-poulains-emirates"", ""https://www.zeturf.fr/fr/course-du-jour/2023-06-04/R1C5-chantilly-de-royaumont"", ""https://www.zeturf.fr/fr/course-du-jour/2023-08-13/R1C5-deauville-gontaut-biron-hong-kong-jockey-club"", ""https://www.zeturf.fr/fr/course-du-jour/2023-09-10/R1C6-parislongchamp-niel-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-04-01/R1C6-saint-cloud-edmond-blanc"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-01/R1C5-saint-cloud-du-muguet"", ""https://www.zeturf.fr/fr/course-du-jour/2024-05-26/R1C5-parislongchamp-d-ispahan"", ""https://www.zeturf.fr/fr/course-du-jour/2024-06-16/R1C8-chantilly-bertrand-du-breuil-longines"", ""https://www.zeturf.fr/fr/course-du-jour/2024-07-14/R1C7-chantilly-messidor"", ""https://www.zeturf.fr/fr/course-du-jour/2024-08-11/R1C4-deauville-jacques-le-marois-haras-de-fresnay-le-buffard"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-05/R1C6-parislongchamp-daniel-wildenstein-qatar"", ""https://www.zeturf.fr/fr/course-du-jour/2024-10-27/R1C1-saint-cloud-flore"", ""https://www.zeturf.fr/fr/course-du-jour/2025-03-29/R1C6-saint-cloud-edmond-blanc"", ""https://www.zeturf.fr/fr/course-du-jour/2025-06-15/R1C9-chantilly-bertrand-du-breuil-longines"", ""https://www.zeturf.fr/fr/course-du-jour/2025-07-20/R1C7-chantilly-messidor"", ""https://www.zeturf.fr/fr/course-du-jour/2025-09-07/R1C4-parislongchamp-moulin-de-longchamp"", ""https://www.zeturf.fr/fr/course-du-jour/2025-10-04/R1C6-parislongchamp-daniel-wildenstein-qatar""]","[""france""]",18,14,4,0,0,14,2025-10-04,1178,Daniel Wildenstein [Qatar],G2,,,,True,confirm_batch_inclusion,项目负责人确认纳入首批；该决定不豁免身份补强、完整资料和完整生涯门禁。
